1:904165 [-0.16305764  4.65142072 -0.23944419]
1:18283857 [ 0.22940726  4.27203796 -0.19687864]
1:18914423 [ 0.44162855  4.13381696 -0.30988803]
1:18940380 [-0.45186726  5.0773897  -0.31805681]
1:18999794 [ 0.33008012  4.49109978 -0.25593524]
1:19163075 [ 0.35439496  4.37999658 -0.28238002]
1:19175593 [ 0.50194991  4.34802097 -0.23785527]
1:19186093 [-0.58047752  4.63385432 -0.21148445]
1:19365552 [ 0.53268914  4.22840182 -0.17115477]
1:19775375 [-0.18185545  4.66029297 -0.19579559]
1:19809758 [ 0.23986985  4.49987829 -0.25602022]
1:20014739 [ 0.18304892  4.48725825 -0.24577171]
1:20200990 [-0.51460512  5.00230667 -0.14222179]
1:20442054 [-0.38337278  5.16688198 -0.20180452]
1:20491842 [-0.0472434   4.64442584 -0.22122889]
1:20562389 [ 0.09583799  4.50805737 -0.30886362]
1:20657352 [ 0.22048153  4.39881782 -0.29974261]
1:20899016 [-0.04623343  4.68649546 -0.20077331]
1:20916791 [ 0.0344732   4.65451709 -0.36237144]
1:21031042 [ 0.37056278  4.50253664 -0.21815223]
1:21306161 [ 0.30688295  4.35674736 -0.31638589]
1:21723308 [-0.24549025  4.66105477 -0.25244541]
1:21894735 [ 0.09374679  4.54644666 -0.24634577]
1:21983611 [ 0.28335231  4.31247967 -0.35236466]
1:22046558 [ 0.37427308  4.27046342 -0.34886887]
1:22160020 [-0.35134346  4.59650773 -0.24129569]
1:22690923 [-0.08822427  4.77855138 -0.27904225]
1:22711473 [-0.35228576  4.8505221  -0.35539931]
1:22744686 [ 0.04922913  4.59992235 -0.30365241]
1:22872687 [ 0.01287385  4.60560664 -0.27330884]
1:22915753 [-0.24369792  4.81711669 -0.15384154]
1:23288580 [ 0.14568365  4.56498899 -0.26404875]
1:23419261 [ 0.04669317  4.56764095 -0.23941065]
1:23419374 [ 0.20784604  4.34071719 -0.18325238]
1:23618460 [-1.22743151  4.72607862 -0.20385363]
1:24170458 [ 0.28277956  4.4568245  -0.12876091]
1:24408414 [-0.10226902  4.74698008 -0.28689194]
1:24479274 [-0.30804677  4.93171866 -0.31414951]
1:24658063 [ 0.09562751  4.60660643 -0.27921698]
1:24734386 [ 0.42755933  4.40373481 -0.21030461]
1:24864576 [-0.60893466  4.69413352 -0.20176673]
1:24937258 [-0.33750276  4.68152198 -0.25458361]
1:25570081 [ 0.04448669  4.6013308  -0.26596958]
1:26349625 [-0.89133262  4.76144438 -0.18241808]
1:26357656 [ 0.46101688  4.0836359  -0.23321881]
1:26671248 [ 0.31949305  4.5534493  -0.2787636 ]
1:28314423 [ 0.52647466  3.61148035 -0.25152466]
1:29319480 [-0.1017519   4.72672737 -0.12783082]
1:30039872 [-0.08589744  4.70712251 -0.18917379]
1:30172044 [-0.51087936  5.05116566 -0.20935998]
1:31995973 [-0.49530572  5.12931812 -0.28094956]
1:32031843 [-0.54132672  4.76187671 -0.24746041]
1:32127953 [ 0.09349908  4.52612372 -0.24661477]
1:32193049 [ 0.28418951  4.61664471 -0.27283656]
1:32280610 [ 0.29876804  4.1853835  -0.14536718]
1:32667609 [ 0.42828828  4.61616138 -0.28911042]
1:32879586 [-0.77071777  4.72733598 -0.1299872 ]
1:33540443 [ 0.44111586  4.37204966 -0.22244195]
1:33832865 [-0.11056645  4.76198257 -0.26507625]
1:34071525 [ 0.25459419  4.37928789 -0.23267595]
1:34238283 [-0.52604167  4.99356061 -0.19251894]
1:34270187 [ 0.07286134  4.56833652 -0.29791798]
1:34488578 [ 7.66609881e-04  4.71067575e+00 -3.51050539e-01]
1:34496094 [ 0.31585131  4.46848964 -0.2332917 ]
1:34586161 [ 0.12607344  4.5915403  -0.35280666]
1:34996413 [-0.30150426  4.99929754 -0.23177225]
1:35050334 [-0.12016172  4.74743445 -0.2622144 ]
1:35223345 [-0.27988475  4.73908033 -0.19185604]
1:35260769 [-0.17995048  4.78693201 -0.32290046]
1:35444037 [-0.29548761  4.81103373 -0.20149094]
1:35900725 [-0.28708918  4.70330903 -0.20060572]
1:36557619 [-0.20049058  4.68887055 -0.24752185]
1:36636835 [ 0.20131272  4.61360789 -0.2640497 ]
1:36807481 [ 0.34481536  4.50351342 -0.24282024]
1:36886117 [ 0.33554461  4.46269132 -0.32349757]
1:37220721 [ 0.03895767  4.55274929 -0.24095141]
1:38098036 [ 0.35493119  4.39732779 -0.16955578]
1:38262417 [-0.01405249  4.61696632 -0.24188882]
1:38769144 [ 0.12624598  4.60092444 -0.27572347]
1:38931261 [ 0.0500979   4.58742657 -0.14575261]
1:39092449 [-0.23051211  4.77933094 -0.22845411]
1:39748921 [ 0.23465779  4.34174535 -0.27191219]
1:39907949 [-1.12402297  4.66235976 -0.26466209]
1:39908506 [ 0.00613654  4.63549333 -0.28683226]
1:40324210 [ 0.02882313  4.62194178 -0.23687096]
1:40538101 [ 0.22120962  4.54959001 -0.27236456]
1:40547950 [ 0.15411712  4.45016484 -0.27843789]
1:41563086 [-0.51918252  4.96539157 -0.25003552]
1:41839822 [-0.04910601  4.63473244 -0.25123637]
1:41978566 [ 1.89042562  0.87692802 -0.28856331]
1:42050366 [ 0.2561942   4.46445061 -0.31786981]
1:42242941 [-0.44677563  5.14831468 -0.28350018]
1:42424594 [ 0.2993085   4.31415227 -0.31019836]
1:42547061 [-0.01920276  4.6440315  -0.30995927]
1:43004873 [-0.6369382   4.62937554 -0.24054667]
1:43019135 [ 0.297518    4.35654336 -0.26751342]
1:44066424 [ 0.2179106   4.60161803 -0.40394504]
1:44274699 [-0.02639578  4.61031677 -0.25172198]
1:44595410 [ 0.14516237  4.52355072 -0.26523081]
1:45024342 [ 0.1128456   4.58995607 -0.3266045 ]
1:45101478 [-0.24792097  4.76532762 -0.1458964 ]
1:46568836 [-0.078501    4.71636384 -0.25071546]
1:46587887 [ 0.14750894  4.50427678 -0.23612441]
1:46603348 [-0.34147887  5.16381573 -0.3703607 ]
1:46827456 [ 0.11018007  4.51999762 -0.19308795]
1:46827485 [-0.12617082  4.65440772 -0.26504588]
1:46928349 [-0.07372008  4.69657475 -0.21736708]
1:47010027 [-0.21476809  4.76116219 -0.34744187]
1:47080665 [-1.16274241e-04  4.66060380e+00 -3.21838794e-01]
1:47269984 [-0.43211528  4.7111137  -0.24926931]
1:47609489 [ 0.29567953  4.35874426 -0.33311746]
1:47657141 [-0.00861804  4.59897633 -0.22526765]
1:47891361 [ 0.09843802  4.62832542 -0.33580785]
1:48082491 [ 0.00481942  4.61923552 -0.23558402]
1:48103092 [-0.38386856  4.83676133 -0.2461583 ]
1:49128904 [-0.96757063  4.64047129 -0.21612583]
1:54174607 [-0.26729292  4.79041339 -0.27596927]
1:54606804 [ 0.069688    4.47574584 -0.19335003]
1:54730036 [-0.18755271  4.76155708 -0.22707091]
1:54946847 [-0.29352083  4.70408821 -0.16982052]
1:55044940 [-0.57036957  4.74060346 -0.2956694 ]
1:55062960 [ 0.25173502  4.60766888 -0.27574025]
1:55118162 [ 0.25756168  4.45587228 -0.21596558]
1:55119515 [ 0.13120018  4.49965697 -0.2014984 ]
1:55183132 [ 0.02821852  4.66195849 -0.29502117]
1:55219540 [ 0.2155316   4.52897667 -0.27686194]
1:55222080 [ 0.60987295  3.74765945 -0.39572385]
1:55820099 [ 0.07562966  4.5531084  -0.20961166]
1:56382975 [-0.76731852  4.73053844 -0.16916228]
1:56553835 [-0.1423528   4.67077237 -0.25556035]
1:56914341 [-0.03934081  4.60564766 -0.15538526]
1:56915820 [ 0.16960324  4.38445827 -0.18260264]
1:56974091 [-0.01954587  4.65667218 -0.32094131]
1:57415310 [-0.43611668  4.64256909 -0.23523194]
1:57540909 [-0.25735013  4.92981012 -0.3539928 ]
1:57568923 [ 0.13872348  4.519774   -0.20852879]
1:57665590 [-0.16153122  4.77733634 -0.24944376]
1:58668913 [-0.11322095  4.72016239 -0.25514132]
1:58933274 [ 0.00756744  4.67289149 -0.33003784]
1:59004617 [ 0.82414664  4.51128152 -0.1862229 ]
1:59086221 [ 0.24543189  4.49992694 -0.24965684]
1:59992986 [-0.48418139  5.01851454 -0.25070396]
1:61380205 [ 0.08499489  4.62901923 -0.3184127 ]
1:62456014 [-0.04199037  4.64828971 -0.20479159]
1:62582212 [-0.98246733  4.697369   -0.23737296]
1:62603544 [ 0.11976003  4.4885369  -0.29423206]
1:63025942 [ 0.25132327  4.32748481 -0.28736196]
1:63361221 [ 0.43410773  4.02325691 -0.24824374]
1:63561813 [ 3.54448945e-03  4.60705639e+00 -2.92282151e-01]
1:63991267 [ 0.10233133  4.50962434 -0.23702659]
1:63999868 [-0.50288083  4.92593338 -0.22320103]
1:64217123 [-0.44815793  4.99097982 -0.30363684]
1:64357060 [ 0.68788913  3.30741113 -0.22209279]
1:64841469 [ 0.34311979  4.32237969 -0.32628477]
1:64914437 [ 0.00655268  4.69443936 -0.29321804]
1:65581487 [-0.11102429  4.75363643 -0.19379918]
1:66311760 [-0.40200102  4.72754813 -0.2370362 ]
1:67109277 [ 0.44378494  4.58528884 -0.23259024]
1:67558756 [-0.26645252  4.68077669 -0.2136444 ]
1:67633812 [ 0.14351844  4.50587286 -0.34460127]
1:67685387 [ 0.15587211  4.36779801 -0.24759521]
1:67722567 [ 0.46931265  4.21286635 -0.22093142]
1:68046354 [-0.11083197  4.75532824 -0.23013814]
1:68602735 [-0.01660977  4.60358468 -0.33531975]
1:69053937 [ 0.54522074  3.97193047 -0.27085955]
1:69588193 [-0.04680432  4.7078445  -0.29568896]
1:70029922 [ 0.18063937  4.35543364 -0.18788866]
1:70904800 [ 0.21734746  4.54839105 -0.23971386]
1:70954299 [-0.10840376  4.75661338 -0.24792718]
1:71014024 [ 0.22382187  4.36861637 -0.32790199]
1:71229637 [-0.12346687  4.67238001 -0.28507882]
1:72571364 [-0.1380183   4.78760521 -0.29668073]
1:73614563 [ 0.13343037  4.36999158 -0.25177323]
1:74083035 [-0.32862877  4.7261023  -0.21827509]
1:74228366 [ 0.09314705  4.49959009 -0.26940448]
1:75039091 [-0.00573359  4.62417665 -0.26006249]
1:75055419 [ 0.15677474  4.56761047 -0.23735591]
1:75403587 [ 0.38081068  4.02989115 -0.27938233]
1:76227022 [-0.12561815  4.71041272 -0.27931738]
1:76269460 [-0.2215279   4.70447326 -0.28284236]
1:76927674 [ 0.32583034  4.37517219 -0.27781294]
1:77020803 [-1.13549798  4.76106556 -0.28636655]
1:77072458 [-0.20457183  4.67740087 -0.26987548]
1:77093180 [-0.03356361  4.61223533 -0.24893522]
1:77515977 [-0.30192164  4.72588588 -0.22971309]
1:77550431 [-0.50210555  5.26809537 -0.28916434]
1:77569545 [-1.01681817e-03  4.58946729e+00 -2.43149188e-01]
1:77726109 [ 0.23961767  4.56552406 -0.24421682]
1:77865771 [-0.38222172  4.74378157 -0.30942272]
1:77976117 [-0.2303409   4.69887747 -0.27713883]
1:78623626 [ 0.51134083  4.60644989 -0.23558143]
1:78760605 [ 0.33894355  4.10986423 -0.27848153]
1:79095581 [ 0.39000332  4.47878128 -0.29350277]
1:80547435 [ 0.09700048  4.53534472 -0.27147692]
1:80741898 [ 0.11986028  4.6271263  -0.31995516]
1:80793118 [-0.03538902  4.62284201 -0.18099764]
1:80823037 [ 0.30534466  4.07871948 -0.26506377]
1:81177525 [-0.18514825  4.84637083 -0.2475593 ]
1:81983650 [-0.01265467  4.60703336 -0.24744393]
1:82787818 [ 0.09055454  4.51878294 -0.23684628]
1:83097971 [-0.27383175  4.66140104 -0.27182124]
1:83257287 [-0.33054321  4.79306265 -0.16291729]
1:83331118 [ 0.18222761  4.41507263 -0.27008735]
1:83447063 [ 0.09182988  4.52602026 -0.19205674]
1:83572881 [ 0.0994285   4.51725933 -0.17272035]
1:83701728 [ 0.27606662  4.49823837 -0.25958033]
1:84173558 [-0.30104779  4.98544214 -0.35276261]
1:84944975 [ 0.30557453  4.61348463 -0.25717748]
1:85031630 [-0.09804951  4.56429818 -0.10377494]
1:85634847 [-0.6842183   4.64635279 -0.23141945]
1:85742023 [ 0.37705853  4.60741179 -0.32797307]
1:85954113 [ 0.35388553  4.42220326 -0.30467949]
1:86653341 [-0.3706822   5.03874522 -0.32247099]
1:86834369 [ 0.47943669  4.52006481 -0.23624439]
1:86847955 [-0.09384375  4.6689826  -0.27866553]
1:86848019 [ 0.43115811  4.54835209 -0.25866153]
1:86965419 [ 0.29639157  4.42090861 -0.28390468]
1:87106136 [-0.32095205  4.89377397 -0.21479579]
1:87328308 [-0.59901592  4.83268445 -0.15794893]
1:87773503 [-0.168       4.679      -0.23271429]
1:87875198 [ 0.03934742  4.62811475 -0.28555567]
1:87903024 [-0.57282551  5.27684417 -0.18328898]
1:87934293 [-0.14777966  4.74393237 -0.24407311]
1:88109828 [ 0.01270271  4.60718818 -0.30920071]
1:88177836 [-0.17809599  4.81728351 -0.15407123]
1:88844311 [ 0.06447697  4.61263898 -0.32048332]
1:89473175 [-0.04935999  4.67363397 -0.24214674]
1:89850843 [-0.87054929  4.66044524 -0.26383352]
1:90626396 [-0.81693286  4.73564894 -0.32527524]
1:90759618 [ 0.31518425  4.32305475 -0.22572414]
1:91556690 [ 0.05616043  4.60801795 -0.2515976 ]
1:92174260 [-0.58208351  5.71085946 -0.25581527]
1:92276535 [ 0.04068634  4.58722497 -0.32362597]
1:92329059 [ 0.14810202  4.58048583 -0.24885019]
1:92358371 [ 0.10731682  4.53494516 -0.33997905]
1:92457843 [ 0.17604821  4.3074603  -0.21319488]
1:94371909 [-0.17402356  4.6775374  -0.24237195]
1:94544233 [ 0.17873162  4.60679163 -0.28839132]
1:95273964 [-0.02056163  4.67423096 -0.32997059]
1:96319900 [ 0.10379256  4.56472364 -0.27280364]
1:96869933 [-0.15402536  4.84227718 -0.25973419]
1:97588830 [ 0.01801003  4.62337778 -0.256937  ]
1:98808760 [-0.09019513  4.78374731 -0.35436847]
1:99789514 [ 0.27389903  4.36802877 -0.25076281]
1:100116394 [ 0.12982075  4.45987541 -0.28685436]
1:100271638 [ 0.37614877  4.26442945 -0.22175984]
1:101107748 [ 0.1703705   4.49966318 -0.30077149]
1:101255080 [-0.13266192  4.65025013 -0.16522324]
1:101285547 [ 0.18304074  4.4779137  -0.20450564]
1:101407519 [-0.13312561  4.70289644 -0.26010061]
1:101815604 [-0.31150602  4.82841715 -0.22170203]
1:101830858 [ 0.22690198  4.39471385 -0.22222352]
1:102253545 [-0.06532431  4.76549159 -0.34321934]
1:102271774 [ 0.04771273  4.58861094 -0.25537728]
1:102417093 [ 0.07785416  4.52100429 -0.21005816]
1:102491704 [ 0.10524863  4.56418532 -0.3366589 ]
1:102681580 [ 0.09586175  4.56065184 -0.23017322]
1:103354138 [-0.0605839   4.69720296 -0.27324925]
1:103763252 [-3.13285669e-03  4.65904895e+00 -2.60930625e-01]
1:104766179 [-0.03779502  4.64037582 -0.21767688]
1:104851904 [ 0.00497422  4.63492793 -0.23874814]
1:105227000 [-0.58005197  4.7351445  -0.26117772]
1:105365300 [ 0.22139953  4.51268214 -0.28075229]
1:105504651 [-0.19084011  4.78903573 -0.31181501]
1:105518136 [-3.69374374e-04  4.60604340e+00 -2.24531094e-01]
1:106089142 [ 0.21466895  4.47676888 -0.26919674]
1:107180296 [-0.13041278  4.75745806 -0.29987174]
1:107294919 [ 0.29776013  4.19343983 -0.24405638]
1:108251323 [ 0.22562895  4.51131513 -0.27821161]
1:108288220 [ 0.30407969  4.57449917 -0.25605296]
1:108356000 [-0.21452067  4.79423619 -0.17977805]
1:108572106 [ 0.54179545  4.42941727 -0.16029208]
1:109369915 [-0.10762182  4.7248711  -0.28582794]
1:109633256 [-0.35795111  5.02647722 -0.21628986]
1:109835757 [ 0.5045695   4.25332124 -0.26427476]
1:109846278 [ 0.33052118  4.14338535 -0.35440128]
1:110233147 [-0.03832379  4.42171427 -0.05877416]
1:110279701 [ 0.30224443  4.40891073 -0.30324459]
1:110760444 [-0.40555667  5.02068019 -0.15650109]
1:110988874 [-0.23265737  4.86527366 -0.19621228]
1:111050158 [ 0.05525055  4.60097494 -0.31251612]
1:111173494 [ 0.08222889  4.5182677  -0.27036198]
1:111257724 [-0.11154352  4.78624263 -0.20546491]
1:111311541 [ 0.44117956  3.80868547 -0.18339188]
1:111318291 [ 0.2253203   4.38155795 -0.25105436]
1:111820644 [-0.04029138  4.65198114 -0.26228995]
1:111861841 [-0.4076403   5.16538144 -0.2076966 ]
1:111861974 [ 0.02663787  4.56323033 -0.1660021 ]
1:111957688 [ 0.20790565  4.5849729  -0.23563832]
1:111962256 [ 0.40869744  4.54317807 -0.26614025]
1:112061479 [ 0.10421795  4.56375028 -0.23202059]
1:112309331 [-0.7476505   4.86435811 -0.28564749]
1:112356814 [ 0.08395758  4.48093289 -0.26465062]
1:113140583 [ 0.53035144  4.31980831 -0.23674121]
1:114790954 [-0.24739071  4.75123824 -0.10887335]
1:114857644 [ 0.6130719   3.65620915 -0.19398693]
1:115664311 [-0.02355448  4.65039508 -0.28784055]
1:116011300 [ 0.25848628  4.13064212 -0.18228229]
1:116779318 [-0.27007073  4.82724882 -0.2087367 ]
1:117559726 [-0.18837265  4.97362403 -0.27017899]
1:117715026 [ 0.26342135  4.26140233 -0.22165127]
1:117773202 [ 0.21965913  4.35171566 -0.28199487]
1:118075647 [ 0.53685653  3.68977355 -0.28388892]
1:118131205 [ 0.4095706   4.57639828 -0.28324455]
1:118155620 [-0.14207354  4.68035013 -0.21010982]
1:118481581 [ 0.01382961  4.60677153 -0.1889781 ]
1:118971450 [ 0.19840151  4.61490404 -0.36467743]
1:119574587 [ 0.21938434  4.38555263 -0.26674401]
1:119680296 [-0.29576158  4.89334791 -0.29856814]
1:120009049 [-0.6264548   4.82268815 -0.18546253]
1:120177454 [ 0.05824974  4.54824586 -0.21799159]
1:120182906 [ 0.0607286   4.54609314 -0.29406067]
1:120456563 [-0.34401586  4.74766023 -0.3161057 ]
1:145416056 [-0.29509349  4.71490046 -0.26490226]
1:145416584 [-0.54315855  4.66237073 -0.25347116]
1:146512899 [ 0.00792119  4.60106051 -0.1755114 ]
1:146517465 [-0.17730461  4.69277582 -0.27571068]
1:146626922 [ 0.34337219  4.41785406 -0.26486039]
1:146653028 [ 0.35351857  4.18299052 -0.27487127]
1:146942884 [-0.00928849  4.66206069 -0.33660924]
1:147018361 [ 0.06243874  4.58298303 -0.24085935]
1:147083744 [ 0.10131503  4.58989612 -0.2371167 ]
1:147124310 [-0.07751082  4.70762813 -0.20068815]
1:147277764 [ 0.25498066  4.44068735 -0.25231619]
1:149906413 [ 0.43340687  4.41897424 -0.23540634]
1:150515021 [-0.33657057  4.86740216 -0.17423779]
1:150679033 [ 0.13901516  4.50794457 -0.23821153]
1:150766822 [-0.06705996  4.68178137 -0.22203024]
1:151288172 [ 0.45057434  4.16889469 -0.3644941 ]
1:151600441 [-0.07012138  4.74090824 -0.26415608]
1:151814405 [-0.15179288  4.77888451 -0.26817687]
1:152328095 [-0.07477699  4.62584898 -0.2518044 ]
1:152329435 [ 0.16148841  4.53911008 -0.35628586]
1:152492559 [-0.3982591   5.28897472 -0.28091199]
1:152670341 [-0.41761004  4.89167106 -0.19855961]
1:153314153 [-0.16849574  4.93240846 -0.27716744]
1:153557682 [-0.58301783  4.72410529 -0.2799069 ]
1:154252860 [ 0.11228369  4.59562914 -0.25371943]
1:154303976 [-0.0493642   4.60579456 -0.23178113]
1:154426970 [ 0.42906531  4.38365076 -0.29281326]
1:154573967 [ 0.4085045   4.09503067 -0.19685398]
1:155026942 [ 0.1370669   4.39437407 -0.27335329]
1:155058663 [-0.07201097  4.64736438 -0.26899481]
1:155983648 [ 0.04813679  4.58448607 -0.29584686]
1:156107534 [ 0.02423018  4.60374    -0.23781287]
1:156206121 [ 0.57735959  4.4565005  -0.28282953]
1:156430749 [ 0.41329516  4.13491692 -0.235396  ]
1:156526387 [ 0.30127785  4.32134666 -0.20495781]
1:156697056 [-0.17458131  4.66680346 -0.27963104]
1:156883546 [ 0.23264666  4.35277043 -0.18751059]
1:156890672 [-0.02144213  4.68905638 -0.3061831 ]
1:157437510 [ 0.13177292  4.5598952  -0.2180382 ]
1:157805650 [ 0.05532255  4.61069204 -0.2641693 ]
1:158045749 [ 0.30173382  4.20150642 -0.2418859 ]
1:158261071 [-1.215081    4.67540396 -0.22222921]
1:158449749 [-1.24084766  4.65070427 -0.22519193]
1:158625789 [-0.48421802  4.70636266 -0.1678866 ]
1:158626378 [-0.35909343  4.90211246 -0.24348847]
1:158687224 [ 0.41827857  4.40194397 -0.23918394]
1:158687896 [-0.30332482  4.76605962 -0.27020364]
1:159278251 [-0.38932806  5.08142292 -0.0829249 ]
1:159453937 [-0.01698561  4.61135427 -0.26271791]
1:159505101 [ 0.18914708  4.62257585 -0.31175834]
1:159854251 [-0.1826895   4.63158308 -0.2118351 ]
1:160349098 [ 0.16553762  4.50246228 -0.2800812 ]
1:160459909 [ 0.02290703  4.62423317 -0.26356342]
1:160634588 [ 0.19175001  4.61220796 -0.35483198]
1:160914917 [-1.0029081   4.63803131 -0.18742764]
1:161361979 [ 0.31685046  4.55250843 -0.23636853]
1:161479745 [-0.2064233   4.77655285 -0.26567986]
1:161685725 [-0.22626566  4.81339166 -0.20049018]
1:162067447 [-0.49489528  4.77275517 -0.22148671]
1:162249697 [-0.03911028  4.67334883 -0.27660454]
1:162344102 [ 0.2938423   4.4274855  -0.27932688]
1:162590088 [ 0.12327603  4.56561546 -0.25812879]
1:162625756 [ 0.01899747  4.57287956 -0.2291957 ]
1:162640649 [ 0.27615353  4.31828487 -0.24124131]
1:162797691 [ 0.07384539  4.53041316 -0.27988055]
1:162870633 [-0.18015683  4.84748621 -0.30576198]
1:162878023 [-0.21993995  4.67597925 -0.2553842 ]
1:162945455 [-0.5364427   4.79482496 -0.26604351]
1:162961718 [ 0.30818586  4.13801357 -0.24249982]
1:163736925 [ 0.42030659  4.07596551 -0.28253937]
1:163953111 [-0.08880358  4.66455771 -0.22803092]
1:164274152 [ 0.12834493  4.53833888 -0.36394075]
1:164365846 [-0.29913605  4.75359484 -0.11057597]
1:164404171 [ 0.13669695  4.55857272 -0.31922074]
1:164671255 [ 0.12447114  4.50926856 -0.22165029]
1:164951242 [ 0.40552173  4.18171321 -0.24614966]
1:165533005 [-0.26965878  4.82719257 -0.30409838]
1:165569268 [-0.14413751  4.63674252 -0.2387532 ]
1:165605310 [ 0.04991381  4.5693234  -0.27342754]
1:165704732 [-0.04230881  4.59093213 -0.23327123]
1:166087578 [ 0.20118752  4.3714431  -0.30845642]
1:166308592 [-0.17989013  4.67815267 -0.25680161]
1:167042762 [ 0.27030279  4.57609785 -0.26037698]
1:167050565 [-0.56434063  4.87395752 -0.34151029]
1:168013850 [ 0.25648489  4.50899213 -0.26717105]
1:168655627 [-0.45059002  4.72865887 -0.17143971]
1:168871028 [ 0.28106837  4.28807845 -0.14008403]
1:168929116 [-0.26613658  5.12706579 -0.25372622]
1:168994513 [-0.24404433  4.86807917 -0.17407425]
1:169293721 [-0.22772845  4.73654989 -0.28323477]
1:169437392 [ 0.07365323  4.62141356 -0.25614874]
1:169696946 [ 0.33579337  4.48310093 -0.24953313]
1:169738202 [ 0.08577798  4.57416307 -0.29794977]
1:169802760 [-0.25235066  4.96505486 -0.23191764]
1:169819065 [ 0.05669283  4.59613209 -0.25194456]
1:169823718 [-0.06262494  4.75244992 -0.28599366]
1:170037624 [-0.14512212  4.65185631 -0.23818438]
1:170216805 [ 0.19076779  4.53342448 -0.22487325]
1:170372503 [ 0.08090895  4.51115067 -0.24468662]
1:170915133 [ 0.19336901  4.45388636 -0.34605962]
1:171083174 [-0.15495057  4.71649711 -0.26228717]
1:171173089 [-2.12916006  4.66032752 -0.23217116]
1:171393060 [ 0.34117023  4.50238642 -0.2297154 ]
1:171435477 [-0.30135276  4.75014412 -0.20338456]
1:171588583 [ 0.00875523  4.59690236 -0.2724561 ]
1:171732378 [ 0.24644918  4.44016312 -0.20786174]
1:171755170 [ 0.1265067   4.55825046 -0.31422639]
1:171903833 [-0.03303834  4.75735355 -0.4118574 ]
1:172053287 [ 0.13633797  4.59130373 -0.25192853]
1:172156886 [-0.38630726  4.91163662 -0.22932936]
1:172498216 [-0.18999486  4.76298797 -0.38419064]
1:173301516 [ 0.18751696  4.46959531 -0.30847972]
1:173539032 [ 0.14959354  4.42235027 -0.3003475 ]
1:175086461 [-0.40817883  5.13037321 -0.27929943]
1:175138289 [ 0.19052874  4.55865517 -0.28786461]
1:175561555 [-0.51269275  4.77386972 -0.20359614]
1:175581146 [-0.53344113  5.15488947 -0.15635357]
1:176273901 [-0.1360992   4.65794648 -0.23346854]
1:177626285 [ 0.17142956  4.45740407 -0.24367303]
1:177935443 [ 0.24070964  4.39866331 -0.2071778 ]
1:178353532 [-0.25714388  4.66115303 -0.22379028]
1:178563987 [ 0.17244165  4.614028   -0.27056612]
1:178633373 [ 0.12213591  4.58110785 -0.31558815]
1:179016398 [-0.18326914  4.79373594 -0.23959281]
1:179312752 [-0.09300445  4.70067844 -0.27876302]
1:179319580 [ 0.23874603  4.22462595 -0.22935423]
1:179456462 [ 0.38081426  4.14862204 -0.18367711]
1:179553724 [ 0.02275995  4.60323044 -0.32928508]
1:179600001 [ 0.21488577  4.58699272 -0.27038232]
